0x8027,0x7FF5,0x72,0x95
0x7FC8,0x8081,0x71,0x9D
0x7FFE,0x8040,0x7F,0x8B
0x7FB8,0x8067,0x71,0x6E
0x7FBF,0x8099,0x5F,0x65
0x8078,0x7F92,0x87,0x97
0x7FF1,0x7FF7,0xA7,0x9F
0x8030,0x7FBB,0x5F,0x98
0x7FAD,0x8052,0x93,0x77
0x7FF7,0x8023,0x9B,0x88
0x8003,0x7F8F,0x8F,0x77
0x808E,0x7F42,0x73,0x95
0x7FEC,0x803A,0x79,0x74
0x8050,0x8011,0x77,0x86
0x8083,0x7FCE,0x58,0x9E
0x7FD3,0x7FDD,0x8A,0x8B
0x8054,0x8023,0x7E,0x95
0x8023,0x8016,0x83,0x82
0x8058,0x7FE0,0x9B,0x9B
0x7FC3,0x8010,0x84,0x68
0x8059,0x7FA6,0x86,0x55
0x7F79,0x7FF5,0x80,0x71
0x7F70,0x7F84,0x71,0x74
0x800C,0x7F7E,0x94,0x59
0x7FB2,0x7FC2,0x9D,0xA9
0x7FCF,0x7FD6,0x88,0x64
0x8056,0x8019,0xB4,0x7C
0x803C,0x804A,0x91,0x66
0x7FF0,0x8035,0x80,0xA0
0x800A,0x7F63,0x65,0x7C
0x7FB4,0x7FF0,0x8C,0x65
0x7FCA,0x804F,0x78,0x84
0x801C,0x7FC5,0x80,0x79
0x7F9C,0x7F6C,0x9F,0x74
0x805C,0x7FBB,0x7E,0x87
0x809A,0x7F75,0x8E,0x8D
0x805B,0x7FCA,0x72,0x69
0x805B,0x802E,0x7E,0x65
0x804D,0x7F7C,0x6E,0x96
0x7FE0,0x8080,0x7F,0x65
0x7FA5,0x7F94,0x9D,0x8E
0x7FCB,0x8013,0x90,0x78
0x7FBF,0x7F9A,0x97,0x9E
0x8004,0x8020,0xA5,0xA0
0x806D,0x7FE7,0x75,0x79
0x7FE0,0x7FC3,0x8F,0xAC
0x7FE1,0x7F8E,0x68,0x79
0x8078,0x7F95,0x7C,0x79
0x80A3,0x803A,0x9B,0x7D
0x80DD,0x7FE2,0x71,0x97
0x7FA9,0x807C,0x9D,0x98
0x8053,0x803F,0x80,0x9F
0x7FE6,0x7FBD,0x78,0x76
0x7FB4,0x8017,0x86,0x9C
0x7FEA,0x7FB1,0x8F,0x89
0x7F9F,0x8024,0xA1,0x92
0x7FA1,0x8039,0x6D,0x71
0x8001,0x8010,0x69,0x93
0x7FAF,0x8025,0x7C,0x85
0x8043,0x8034,0x93,0x82
0x7FA6,0x7FC3,0x7A,0x85
0x7FBD,0x8014,0x82,0x87
0x7FAE,0x7FD5,0x8F,0x8F
0x802E,0x801D,0x91,0x95
0x8005,0x7FAC,0x84,0x92
0x806E,0x7F6A,0x64,0x94
0x7F9E,0x7F7F,0x72,0x96
0x7FB4,0x7F9E,0x64,0x9D
0x7FE8,0x7FC7,0x87,0x89
0x8003,0x7F4D,0x93,0x7C
0x805A,0x7F92,0x73,0x59
0x7FE4,0x7FDD,0x6E,0x66
0x80B3,0x8053,0x75,0x7C
0x7FB0,0x8071,0xA4,0x68
0x7FD6,0x8027,0x79,0x73
0x8074,0x8036,0x92,0x8D
0x7F35,0x8009,0x85,0x92
0x7FD2,0x8082,0x91,0x6E
0x806F,0x801A,0x78,0x93
0x7FD8,0x7FA9,0x87,0x7B
0x7F2E,0x8010,0xB3,0x81
0x8043,0x8015,0x84,0x75
0x7FF9,0x7F72,0x7B,0x6B
0x7F7F,0x802F,0x8A,0x7D
0x7FF4,0x8014,0x9F,0x87
0x800F,0x7FC9,0x70,0x84
0x801A,0x802C,0x8E,0xB2
0x7FFB,0x7FD9,0x71,0x85
0x8004,0x802B,0x86,0x7E
0x8012,0x7F5A,0x81,0x83
0x7F61,0x7F61,0x89,0x7D
0x802E,0x7F8F,0x85,0x81
0x8000,0x8088,0x6D,0x8C
0x8079,0x7FA8,0x7F,0xA1
0x7FD8,0x7FBC,0x84,0x7C
0x8069,0x7FA4,0x7A,0x8A
0x8005,0x8036,0x77,0x83
0x8031,0x7FC0,0x71,0x9A
0x7FDE,0x809C,0x94,0xAA
0x7EE8,0x8051,0xAE,0x73
0x7FF2,0x7FCF,0x79,0xA5
0x8067,0x7FEE,0x56,0x6B
0x8090,0x8039,0x6D,0x7F
