a_up,a_down,b_up,b_down,¹«Ê½£ºx=ay-(b+c)
0x7EDC,0x80EE,0x67,0xA4,
0x8009,0x80B6,0x7E,0xB1,
0x7F76,0x808E,0x81,0x78,
0x8007,0x80BB,0x95,0x72,
0x7FE2,0x810B,0x70,0xB2,
0x8035,0x80A5,0x5E,0x8F,
0x7F8A,0x80D3,0x92,0x85,
0x80CF,0x80E6,0x8E,0x9A,
0x8042,0x8130,0x74,0x9B,
0x7F91,0x80BE,0x70,0x81,
0x8010,0x80A7,0x69,0xA7,
0x800E,0x7FE6,0x7A,0x8C,
0x80F2,0x803E,0x84,0xAB,
0x804D,0x8199,0x7E,0x85,
0x808D,0x816C,0x7D,0x76,
0x8090,0x7FB1,0x89,0x9E,
0x8104,0x8163,0x7E,0x8F,
0x7EAE,0x7FD1,0x73,0x9A,
0x7FA6,0x80D9,0x74,0x93,
0x7FF8,0x80D1,0x75,0x93,
0x7F72,0x80DA,0xA8,0xA6,
0x7F6A,0x809B,0x85,0x72,
0x7FE4,0x809F,0x7D,0x89,
0x7E83,0x80E3,0x67,0x8B,
0x808A,0x8037,0x86,0xA2,
0x8050,0x7FEA,0x7C,0x8B,
0x80BA,0x803F,0x82,0x98,
0x7FAC,0x8131,0x74,0xA5,
0x80DA,0x800D,0x7F,0x8C,
0x8006,0x812C,0x9D,0x7D,
0x802C,0x7FD5,0x7E,0x97,
0x80CF,0x8041,0x84,0x79,
0x805B,0x80AE,0xA0,0x93,
0x7F69,0x7FB9,0x89,0x6A,
0x7F98,0x8001,0x8D,0xA1,
0x7FB1,0x8113,0x6C,0x9B,
0x8045,0x8037,0x75,0x93,
0x7FEB,0x8035,0x9B,0x9B,
