a,b,,,
0x7FBC,0x8,,,
0x8042,0xA,,,
0x808B,0x7,,,
0x7F9C,0x9,,,
0x8000,0x7,,,
0x7FF1,0x8,,,
0x807E,0x9,,,
0x7F5C,0x9,,,
0x7FD3,0x8,,,
0x7FCC,0x8,,,
0x7FB5,0x7,,,
0x8031,0xA,,,
0x7FF1,0x7,,,
0x803C,0x7,,,
0x7F21,0x9,,,
0x8029,0x8,,,
0x806A,0x9,,,
0x7FE3,0x8,,,
0x8102,0x9,,,
0x7FC1,0x7,,,
0x808E,0x8,,,
0x7FE7,0xA,,,
0x7F9B,0x5,,,
0x7F86,0x9,,,
0x8086,0x9,,,
0x7FDD,0x7,,,
0x8089,0x9,,,
0x7FAE,0xA,,,
0x8107,0x8,,,
0x8045,0x8,,,
0x8010,0xA,,,
0x8062,0x8,,,
0x80CF,0x9,,,
0x8081,0xA,,,
0x805D,0x7,,,
0x8026,0x9,,,
0x8036,0x7,,,
0x8152,0x8,,,
0x7FCD,0xB,,,
0x803D,0xC,,,
